date;interest
1.01.2002;0.1
1.02.2002;0.1
1.03.2002;0.1
1.04.2002;0.1
1.05.2002;0.1
1.06.2002;0.1
1.07.2002;0.1
1.08.2002;0.1
1.09.2002;0.1
1.10.2002;0.1
1.11.2002;0.1
1.12.2002;0.1
1.01.2003;0.1
1.02.2003;0.1
1.03.2003;0.1
1.04.2003;0.1
1.05.2003;0.1
1.06.2003;0.1
1.07.2003;0.1
1.08.2003;0.1
1.09.2003;0.1
1.10.2003;0.1
1.11.2003;0.1
1.12.2003;0.1
1.01.2004;0.1
1.02.2004;0.1
1.03.2004;0.1
1.04.2004;0.1
1.05.2004;0.1
1.06.2004;0.1
1.07.2004;0.1
1.08.2004;0.1
1.09.2004;0.1
1.10.2004;0.1
1.11.2004;0.1
1.12.2004;0.1
1.01.2005;0.1
1.02.2005;0.1
1.03.2005;0.1
1.04.2005;0.1
1.05.2005;0.1
1.06.2005;0.1
1.07.2005;0.1
1.08.2005;0.1
1.09.2005;0.1
1.10.2005;0.1
1.11.2005;0.1
1.12.2005;0.1
1.01.2006;0.1
1.02.2006;0.1
1.03.2006;0.1
1.04.2006;0.1
1.05.2006;0.1
1.06.2006;0.1
1.07.2006;0.4
1.08.2006;0.4
1.09.2006;0.4
1.10.2006;0.4
1.11.2006;0.4
1.12.2006;0.4
1.01.2007;0.4
1.02.2007;0.75
1.03.2007;0.75
1.04.2007;0.75
1.05.2007;0.75
1.06.2007;0.75
1.07.2007;0.75
1.08.2007;0.75
1.09.2007;0.75
1.10.2007;0.75
1.11.2007;0.75
1.12.2007;0.75
1.01.2008;0.75
1.02.2008;0.75
1.03.2008;0.75
1.04.2008;0.75
1.05.2008;0.75
1.06.2008;0.75
1.07.2008;0.75
1.08.2008;0.75
1.09.2008;0.75
1.10.2008;0.5
1.11.2008;0.5
1.12.2008;0.3
1.01.2009;0.3
1.02.2009;0.3
1.03.2009;0.3
1.04.2009;0.3
1.05.2009;0.3
1.06.2009;0.3
1.07.2009;0.3
1.08.2009;0.3
1.09.2009;0.3
1.10.2009;0.3
1.11.2009;0.3
1.12.2009;0.3
1.01.2010;0.3
1.02.2010;0.3
1.03.2010;0.3
1.04.2010;0.3
1.05.2010;0.3
1.06.2010;0.3
1.07.2010;0.3
1.08.2010;0.3
1.09.2010;0.3
1.10.2010;0.3
1.11.2010;0.3
1.12.2010;0.3
1.01.2011;0.3
1.02.2011;0.3
1.03.2011;0.3
1.04.2011;0.3
1.05.2011;0.3
1.06.2011;0.3
1.07.2011;0.3
1.08.2011;0.3
1.09.2011;0.3
1.10.2011;0.3
1.11.2011;0.3
1.12.2011;0.3
1.01.2012;0.3
1.02.2012;0.3
1.03.2012;0.3
1.04.2012;0.3
1.05.2012;0.3
1.06.2012;0.3
1.07.2012;0.3
1.08.2012;0.3
1.09.2012;0.3
1.10.2012;0.3
1.11.2012;0.3
1.12.2012;0.3
1.01.2013;0.3
1.02.2013;0.3
1.03.2013;0.3
1.04.2013;0.3
1.05.2013;0.3
1.06.2013;0.3
1.07.2013;0.3
1.08.2013;0.3
1.09.2013;0.3
1.10.2013;0.3
1.11.2013;0.3
1.12.2013;0.3
1.01.2014;0.3
1.02.2014;0.3
1.03.2014;0.3
1.04.2014;0.3
1.05.2014;0.3
1.06.2014;0.3
1.07.2014;0.3
1.08.2014;0.3
1.09.2014;0.3
1.10.2014;0.3
1.11.2014;0.3
1.12.2014;0.3
1.01.2015;0.3
1.02.2015;0.3
1.03.2015;0.3
1.04.2015;0.3
1.05.2015;0.3
1.06.2015;0.3
1.07.2015;0.3
1.08.2015;0.3
1.09.2015;0.3
1.10.2015;0.3
1.11.2015;0.3
1.12.2015;0.3
1.01.2016;0.3
1.02.2016;0.3
1.03.2016;0.3
1.04.2016;0.3
1.05.2016;0.3
1.06.2016;0.3
1.07.2016;0.3
1.08.2016;0.3
1.09.2016;0.3
1.10.2016;0.3
1.11.2016;0.3
1.12.2016;0.3
1.01.2017;0.3
1.02.2017;0.3
1.03.2017;0.3
1.04.2017;0.3
